CONVOCATORIA,SEMESTRE DE CONVOCATORIA,BENEFICIO OTORGADO,DEPARTAMENTO DE NACIMIENTO,MUNICIPIO DE NACIMIENTO,FECHA DE NACIMIENTO,GÉNERO,SUBREGIÓN DE RESIDENCIA,MUNICIPIO DE RESIDENCIA,ESTRATO,GRUPO ETNICO,VICTIMA DEL CONFLICTO ARMADO,UNIVERSIDAD,PROGRAMA CURSADO,MUNICIPIO OFERTA,TIPO DE FORMACIÓN,GRADUADO
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,07/11/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AGROPECUARIA,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,MEDELLIN,09/16/1998 12:00:00 AM,FEMENINO,SUROESTE,CIUDAD BOLIVAR,ESTRATO 1,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANDES,05/11/1998 12:00:00 AM,FEMENINO,SUROESTE,ANDES,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,TECNICO PROFESIONAL EN ATENCION PREHOSPITALARIA,ANDES,TECNICA PROFESIONAL,1
2016,1,SOSTENIMIENTO,ANTIOQUIA,BRICEÑO,03/31/1996 12:00:00 AM,FEMENINO,NORTE,BRICEÑO,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,YARUMAL,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,VALDIVIA,05/12/1994 12:00:00 AM,FEMENINO,NORTE,YARUMAL,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,YARUMAL,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ANZA,12/09/1998 12:00:00 AM,FEMENINO,OCCIDENTE,ANZA,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,SANTAFE DE ANTIOQUIA,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,URRAO,05/07/1989 12:00:00 AM,FEMENINO,SUROESTE,URRAO,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,ANDES,UNIVERSITARIA,0
2016,1,MATRÍCULA,ANTIOQUIA,LA CEJA,04/30/1998 12:00:00 AM,MASCULINO,ORIENTE,LA CEJA,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE SISTEMAS,EL CARMEN DE VIBORAL,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,10/30/1998 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE SISTEMAS,SONSON,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,06/14/1997 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 2,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE TELECOMUNICACIONES,SONSON,UNIVERSITARIA,0
2016,1,SOSTENIMIENTO,ANTIOQUIA,SONSON,06/28/1996 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,SONSON,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,ABEJORRAL,06/16/1997 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE TELECOMUNICACIONES,SONSON,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SEGOVIA,07/17/1993 12:00:00 AM,FEMENINO,NORDESTE,SEGOVIA,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA AMBIENTAL,SEGOVIA,UNIVERSITARIA,0
2016,1,MATRÍCULA Y SOSTENIMIENTO,ANTIOQUIA,SONSON,06/16/1998 12:00:00 AM,MASCULINO,ORIENTE,SONSON,ESTRATO 3,NINGUNO,0,UNIVERSIDAD DE ANTIOQUIA,INGENIERIA DE TELECOMUNICACIONES,SONSON,UNIVERSITARIA,0
